optimizer,estimator,generator,acquisitor,Wp0,Wn0,Wp2,Wp1,Wn2,Wn1,t_phl,t_plh,v_il,v_ih,cost,time_stamp
gbrt_minimize,ET,random,PI,2.8255408478219433e-05,1.0096277431402908e-05,2.4347206561786097e-05,1.5735123075299221e-06,6.35536861873469e-06,5.475112374366513e-07,1.158111240623303,1.8862559902452243,9.798379885239683e-10,7.844809246648765e-10,0.4190252251977548,221004-211111
gbrt_minimize,ET,random,gp_hedge,4.344215581626812e-06,6.747534996815045e-06,2.457805272530973e-06,2.0562234774526623e-06,2.406208540386862e-06,5.7059001074559e-07,1.312780444273446,1.7461497063327196,8.084546365694223e-10,7.054943296225247e-10,0.2608089664166954,221328-211111
gbrt_minimize,ET,sobol,LCB,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,221619-211111
gbrt_minimize,ET,sobol,EI,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,221938-211111
gbrt_minimize,ET,sobol,PI,0.00010404696288656275,2.120067134911364e-06,2.815394909156891e-05,1.139850936717802e-06,7.60264185387359e-07,8.126392415336966e-07,1.353007412716489,1.6566634354249512,7.901457266257239e-10,7.863194539936558e-10,0.18207540918612183,222225-211111
gbrt_minimize,ET,sobol,gp_hedge,7.42035855316052e-05,8.493638450330435e-07,1.1838390021282451e-05,1.3092458054220805e-06,1.4735059176677164e-06,6.838496712363513e-06,1.3970792105931211,2.189532725183818,6.339191394033605e-10,8.35894020667638e-10,0.4101795870122984,222552-211111
gbrt_minimize,ET,halton,LCB,3.365909835964829e-06,1.5522732780203227e-05,8.316948272879981e-06,1.506598401052637e-05,1.5005861438099216e-05,9.281173540830935e-07,0.927353322093572,2.050728591407996,8.743716861658868e-10,5.22028642535588e-10,0.8051558972574204,222854-211111
gbrt_minimize,ET,halton,EI,3.365909835964829e-06,1.5522732780203227e-05,8.316948272879981e-06,1.506598401052637e-05,1.5005861438099216e-05,9.281173540830935e-07,0.927353322093572,2.050728591407996,8.743716861658868e-10,5.22028642535588e-10,0.8051558972574204,223148-211111
gbrt_minimize,ET,halton,PI,2.867706408499645e-06,6.124302403609939e-05,1.5289581987599407e-06,3.559633909415965e-05,6.710322231461677e-07,1.463525221025682e-06,1.3460411834594206,1.471942056960948,5.912861311685447e-10,6.473257485595241e-10,0.6998255265438456,223441-211111
gbrt_minimize,ET,halton,gp_hedge,2.867706408499645e-06,6.124302403609939e-05,1.5289581987599407e-06,3.559633909415965e-05,6.710322231461677e-07,1.463525221025682e-06,1.3460411834594206,1.471942056960948,5.912861311685447e-10,6.473257485595241e-10,0.699825641485962,223726-211111
